id,ticket_id,sessao_id,data_hora,formato,qtd_selecoes,timing,categoria_mercado,tempo_resolucao_alvo,casa,partida,campeonato,mercado,selecao,odd,stake_brl,tipo_moeda,retorno_potencial,cashout_ou_resultado_brl,status,observacoes
32,891C-NAPOLI-32,7,2026-08-30 13:16,Simples,1,Pre-Jogo,Resultado_Final_1X2,Pre-Jogo,Superbet,Napoli x Como,Serie A,Resultado Final,Napoli Vence FT,2.37,20.00,Dinheiro Real,20.00,20.00,CANCELADO_CASHOUT_PARIDADE,Cancelado pelo operador para estruturar Dupla de Escanteios.
33,890J-QD45QA,7,2026-08-30 13:17,Simples,1,In-Play (Intervalo 1x1),Resultado_Final_1X2,In-Play,Superbet,Manchester United x Ipswich,Premier League,Resultado Final,Manchester United Vence FT,1.55,15.00,Dinheiro Real,14.52,14.52,CASHOUT_PARCIAL_OPERADOR,Encerrado por R$ 14.52 no intervalo.
35,898N-INPLAY-35,7,2026-08-30 13:27,Multipla,3,100% In-Play,Resultado_Final_1X2,In-Play,Superbet,Man Utd x Ipswich + Augsburg x Schalke + Al Hazem x Al Shabab,PL / Bundesliga / Saudi,Tripla In-Play Alavancagem,Man Utd Vence (1.55) + Augsburg Vence (1.42) + Al Shabab Vence (1.67),3.67,4.52,Dinheiro Real,7.74,7.74,GREEN_CASHOUT_LUCRO,Encerrado com lucro de +R$ 3.22 (+71% ROI) apos vitorias de Man Utd e Augsburg.
36,891K-YK2KU3,7,2026-08-30 13:32,Multipla,2,100% In-Play (1T),Criar_Aposta_Multi_Mercados,Full-Time,Superbet,Napoli x Como + Caldas x Sintrense,Serie A / Taca Portugal,Dupla Multi-Mercado 1T,Napoli Faltas (1.50) + Sintrense Vence (1.83),2.74,5.00,Dinheiro Real,13.73,1.41,EM ABERTO,Dupla Multi-Mercado In-Play com R$ 5.00 e odd 2.74. Retorno potencial R$ 13.73.
37,891M-REAL-37,7,2026-08-30 13:34,Simples,1,In-Play (2T 70'),Total_Gols_Under,Full-Time,Superbet,Real Madrid x Malaga,La Liga,Total de Gols,Menos de 3.5 Gols FT,2.70,5.00,Dinheiro Real,0.00,0.00,RED,Gol do Real Madrid aos 90+1m fechando em 4x0. Mais uma confirmacao da regra: nunca apostar em Under no fim de jogo.
38,891P-NAPOLI-38,7,2026-08-30 13:57,Simples,1,In-Play (1T 25' 0x1),Proximo_Gol,In-Play,Superbet,Napoli x Como,Serie A,Proximo Gol,2º Gol: Napoli,1.75,5.00,Dinheiro Real,8.75,8.75,GREEN,Napoli empatou aos 30' do 1T! Green imediato creditando R$ 8.75.
39,891Q-INPLAY-39,7,2026-08-30 13:59,Multipla,4,100% In-Play,Multipla_InPlay_Mista,Full-Time,Superbet,Augsburg + Man Utd + Rennes + Napoli,Multi-Ligas,Multipla 4 Pernas In-Play,Augsburg Vence (1.12) + Man Utd U6.5 (1.30) + Rennes Sem Gol 5 (1.78) + Napoli U2.5 HT (1.08),2.79,3.80,Dinheiro Real,0.00,0.00,RED,Napoli tomou o 2º gol aos 34m do 1T (1x2), superando o Under 2.5 HT da perna 4.
40,8917-YWAIHT,7,2026-08-30 14:04,Simples,1,In-Play (1T 32' 1x1),Resultado_Final_1X2,Full-Time,Superbet,Napoli x Como,Serie A,Resultado Final,Napoli Vence FT,2.22,5.00,Dinheiro Real,11.10,1.41,EM ABERTO,Napoli jogando em casa contra o Como recem-promovido. 44 minutos no 2T para buscar a virada com elenco estelar. Odd 2.22.
41,891O-YNBDUA,7,2026-08-30 14:08,Simples,1,In-Play (1T 36' 1x2),Dupla_Chance,Full-Time,Superbet,Napoli x Como,Serie A,Dupla Chance,1 ou Empate (1X),2.15,3.75,Dinheiro Real,8.06,3.03,EM ABERTO,Napoli precisa de apenas 1 gol nos 44 minutos restantes do 2T para empatar e cravar o Green na Dupla Chance @ 2.15 com stake de R$ 3.75. Retorno potencial R$ 8.06.
43,8902-QNMRLF,7,2026-08-30 14:16,Simples,1,In-Play (1T 43' 1x2),Total_Gols_HT_Under,Intervalo,Superbet,Napoli x Como,Serie A,1º Tempo - Total de Gols,Menos de 3.5 Gols HT,1.18,27.45,Dinheiro Real,32.39,32.39,GREEN,1º Tempo terminou em 1x2 (3 gols) cravando o Menos de 3.5 HT! Green que elevou a banca livre para R$ 32.39.
44,890X-QKJ5JC,7,2026-08-30 14:38,Multipla,3,100% In-Play,Sniper_Under_Gols_Cartoes_Combo,Full-Time,Superbet,Al Hazem x Al Shabab + Casa Pia x Moreirense + Deportivo x Valencia,Multi-Ligas,Tripla Sniper In-Play,Al Hazem U2.5 (1.62) + Casa Pia U5.5 Cartoes (1.45) + Deportivo U3.5 (1.16),2.72,2.00,Dinheiro Real,5.45,1.70,EM ABERTO,Tripla Sniper In-Play com stake de R$ 2.00 para alavancar com odd 2.72. Retorno potencial R$ 5.45.
